Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
54901.00000000	Quebec	La Patrie	Rang Petit Canada Ouest	Rural Forest	2.47	12.25	34.37	54.63	-99.00	-99.00	-99.00	45.37000000	-71.25000000
55001.00000000	Quebec	Ferme Neuve	215 4 Ième Rang Gravel	Rural Forest	4.02	12.17	32.11	52.63	-99.00	-99.00	-99.00	46.77000000	-75.43000000
55101.00000000	Quebec	Senneterre	Chemin Rivière Bell	Rural Forest	5.01	14.00	33.27	54.75	-99.00	-99.00	-99.00	48.43000000	-77.20000000
55201.00000000	Quebec	Lemieux	1290 Rte des Atocas	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	14.27	46.30000000	-72.06000000
55301.00000000	Quebec	Saint-Jean-Sur-Richelieu	Ferme Exp., 1134 Route 219	Rural Agricultural	8.32	23.92	-99.00	59.13	-99.00	-99.00	-99.00	45.29000000	-73.35000000
55401.00000000	Quebec	Trois-Rivières	Rue Roy & Dorval, Cap Mad.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	0.40	-99.00	-99.00	46.36000000	-72.51000000
55501.00000000	Quebec	Frelighsburg	Frelighsburg	Rural Forest	-99.00	-99.00	38.14	59.63	-99.00	-99.00	-99.00	45.05000000	-72.86000000
55601.00000000	Quebec	Mingan	Mingan	Rural Undeveloped	-99.00	-99.00	31.40	50.13	-99.00	-99.00	-99.00	50.27000000	-64.23000000
55701.00000000	Quebec	Lévis	2254, Rotonde, Charny	Urban Residential	-99.00	-99.00	30.02	50.63	-99.00	-99.00	-99.00	46.71000000	-71.27000000
80110.00000000	Saskatchewan	Regina	2505 11th. Avenue	Urban Commercial	-99.00	-99.00	34.25	59.38	0.45	9.41	104.90	50.45000000	-104.62000000
80211.00000000	Saskatchewan	Saskatoon	511 1st Avenue North	Urban Commercial	5.39	14.46	33.41	58.50	0.82	11.46	-99.00	52.14000000	-106.66000000
80402.00000000	Saskatchewan	Prince Albert	63 - 12th Street East	Urban Commercial	3.55	9.96	34.45	55.63	-99.00	7.65	-99.00	53.20000000	-105.75000000
80901.00000000	Saskatchewan	Bratt's Lake	Radiation Observatory	Rural Agricultural	-99.00	-99.00	37.89	57.63	-99.00	-99.00	-99.00	50.20000000	-104.71000000
81001.00000000	Saskatchewan	Swift Current	1200 Begg St. W	Urban Commercial	-99.00	-99.00	35.24	51.00	-99.00	8.75	-99.00	50.29000000	-107.82000000
119003.00000000	Yukon	Whitehorse	1091 - 1st Avenue	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	60.72000000	-135.05000000
